fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs
203.5882353,495.1176471,0.379823529,0,0,0,203.5882353,495.1176471,0.379823529,0.379823529,114.8235294,170.6470588,0,0,271.4705882,106.5882353,0,0,0,114.9411765,522,FALSE
346,764.9090909,0.424545455,0,0,0,346,764.9090909,0.424545455,0.424545455,203,269.9090909,0,0,445.4545455,195.8181818,0,0,0,189.1818182,895,TRUE
289.3333333,697.1666667,0.3925,0,0,0,289.3333333,697.1666667,0.3925,0.3925,190.8333333,261.8333333,0,0,412.6666667,143.5833333,0,0,0,170,769.5,TRUE
273.2307692,639.4615385,0.371615385,0,0,0,273.2307692,639.4615385,0.371615385,0.371615385,182.9230769,249.7692308,0,0,388.6153846,144.4615385,0,0,0,158.2307692,729.3846154,TRUE
242.5333333,579.7333333,0.401466667,0,0,0,242.5333333,579.7333333,0.401466667,0.401466667,127.4,179.5333333,0,0,309.1333333,117.6666667,0,0,0,137.0666667,612.4666667,FALSE
326.4166667,744.0833333,0.401,0,0,0,326.4166667,744.0833333,0.401,0.401,183.4166667,267.25,0,0,425.4166667,172.75,0,0,0,167.75,836.25,TRUE
173.3809524,402.4285714,0.374857143,0,0,0,173.3809524,402.4285714,0.374857143,0.374857143,106,139.6190476,0,0,229.1428571,94.57142857,0,0,0,102.952381,452.7619048,FALSE
308.8333333,739.5833333,0.38325,0,0,0,308.8333333,739.5833333,0.38325,0.38325,187.1666667,240,0,0,421,149.25,0,0,0,195.3333333,804.8333333,TRUE
288.1538462,675.3076923,0.413230769,0,0,0,288.1538462,675.3076923,0.413230769,0.413230769,154.7692308,213.6153846,0,0,392.6923077,150.7692308,0,0,0,160.7692308,731.0769231,TRUE
198.3529412,438.0588235,0.406352941,0,0,0,198.3529412,438.0588235,0.406352941,0.406352941,121,173.4117647,0,0,258.7647059,104.2352941,0,0,0,120.8823529,517.7058824,FALSE
306,666.5,0.386583333,0,0,0,306,666.5,0.386583333,0.386583333,181.9166667,243.5833333,0,0,409.1666667,160.9166667,0,0,0,183.5833333,793.9166667,TRUE
294.5,682.3333333,0.41375,0,0,0,294.5,682.3333333,0.41375,0.41375,170.3333333,237.6666667,0,0,377.0833333,144.25,0,0,0,181.75,759.3333333,TRUE
318.7272727,722.5454545,0.407636364,0,0,0,318.7272727,722.5454545,0.407636364,0.407636364,202.7272727,266.4545455,0,0,415.5454545,158.0909091,0,0,0,161.3636364,840.1818182,TRUE
214.5625,500.4375,0.421625,0,0,0,214.5625,500.4375,0.421625,0.421625,123.1875,173.625,0,0,262.375,103.625,0,0,0,131.875,552.3125,FALSE
237.8125,528.375,0.4190625,0,0,0,237.8125,528.375,0.4190625,0.4190625,116.875,174.8125,0,0,297.5,119.125,0,0,0,119.75,592.5,FALSE
223.6,518.7333333,0.4276,0,0,0,223.6,518.7333333,0.4276,0.4276,136.8,187.7333333,0,0,293.5333333,126.9333333,0,0,0,138.3333333,584,TRUE
283.8461538,637.6923077,0.436076923,0,0,0,283.8461538,637.6923077,0.436076923,0.436076923,180.7692308,231.1538462,0,0,349.7692308,134,0,0,0,175.1538462,748.4615385,TRUE
216,491.5,0.4255,0,0,0,216,491.5,0.4255,0.4255,127.25,184.75,0,0,305.75,89.125,0,0,0,129.5625,559.25,FALSE
301.5833333,730.8333333,0.38975,0,0,0,301.5833333,730.8333333,0.38975,0.38975,150.3333333,207.4166667,0,0,427.3333333,146.6666667,0,0,0,177.0833333,753.5,TRUE
293,646.75,0.42225,0,0,0,293,646.75,0.42225,0.42225,178.8333333,235.1666667,0,0,402,159.6666667,0,0,0,178.25,764.8333333,TRUE
223.0666667,529.5333333,0.410266667,0,0,0,223.0666667,529.5333333,0.410266667,0.410266667,128.5333333,179.5333333,0,0,297.3333333,108.6666667,0,0,0,149.4,574.6666667,FALSE
272.6666667,619.8333333,0.417583333,0,0,0,272.6666667,619.8333333,0.417583333,0.417583333,185.8333333,242.5,0,0,366.3333333,139.6666667,0,0,0,166.4166667,731.1666667,TRUE
195.1111111,438.1666667,0.4485,0,0,0,195.1111111,438.1666667,0.4485,0.4485,108.4444444,158.3888889,0,0,249.7222222,86.83333333,0,0,0,123.1111111,498.6666667,FALSE
242.4285714,579.7142857,0.366428571,0,0,0,242.4285714,579.7142857,0.366428571,0.366428571,156,203.7142857,0,0,322.3571429,117.3571429,0,0,0,160.7857143,640.8571429,TRUE
309.7272727,707.1818182,0.410909091,0,0,0,309.7272727,707.1818182,0.410909091,0.410909091,163.6363636,256.4545455,0,0,445.2727273,172.6363636,0,0,0,179.8181818,783.0909091,TRUE
238.6428571,555.5,0.370428571,0,0,0,238.6428571,555.5,0.370428571,0.370428571,151.0714286,199.6428571,0,0,306.2857143,135.7857143,0,0,0,161.8571429,628.3571429,TRUE
244.3571429,552.4285714,0.369785714,0,0,0,244.3571429,552.4285714,0.369785714,0.369785714,160.3571429,224.5714286,0,0,333.1428571,119.7142857,0,0,0,151.3571429,649.0714286,TRUE
274.3846154,662.2307692,0.399461538,0,0,0,274.3846154,662.2307692,0.399461538,0.399461538,145.3846154,199,0,0,391.8461538,136.3076923,0,0,0,158.8461538,694.1538462,TRUE
290.1666667,649.75,0.408666667,0,0,0,290.1666667,649.75,0.408666667,0.408666667,180.8333333,238.8333333,0,0,398.8333333,153.5833333,0,0,0,166,761.1666667,TRUE
266.6923077,638.2307692,0.405615385,0,0,0,266.6923077,638.2307692,0.405615385,0.405615385,134.3846154,195.1538462,0,0,361.8461538,123.7692308,0,0,0,158.3076923,667.7692308,FALSE
256.6153846,586.7692308,0.422,0,0,0,256.6153846,586.7692308,0.422,0.422,175.0769231,229.5384615,0,0,354.8461538,123.1538462,0,0,0,153.6923077,688.3076923,TRUE
238.5,559.5714286,0.414785714,0,0,0,238.5,559.5714286,0.414785714,0.414785714,136.7857143,191.7142857,0,0,323.7142857,110.7142857,0,0,0,163.0714286,613.7857143,FALSE
242.2142857,573.4285714,0.424785714,0,0,0,242.2142857,573.4285714,0.424785714,0.424785714,158.6428571,215.0714286,0,0,331,120.8571429,0,0,0,149.7142857,643.0714286,TRUE
