fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry,playoffs
114.7769231,280.1692308,0.264934615,0,0,0,110.4769231,292.6307692,0.233273077,0.205569231,92.93846154,131.9192308,0,0,182.3846154,60.47692308,0,0,0,91.52307692,392.7461538,394,TRUE
118.0461538,300.9153846,0.256926923,0,0,0,111.6,326.8538462,0.222615385,0.194430769,79.03076923,121.9615385,0,0,185.2730769,52.06153846,0,0,0,102,366.7846154,280,FALSE
107.26,244.2733333,0.272606667,0,0,0,107.72,287.1533333,0.24904,0.22276,81.82666667,125.07,0,0,189.29,49.20666667,0,0,0,88.38,337.4933333,450,TRUE
91.71875,250.39375,0.228009375,0,0,0,86.3375,250.01875,0.20219375,0.1818875,74.1625,103.775,0,0,154.846875,42.28125,0,0,0,77.334375,317.51875,524,TRUE
166.0454545,425.7363636,0.25845,0,0,0,152.2181818,429.1545455,0.223640909,0.196409091,101.5,152.4863636,0,0,287.6590909,79.44545455,0,0,0,108.7454545,510.1227273,476,TRUE
137.0333333,334.125,0.2543125,0,0,0,134.3166667,363.8583333,0.225508333,0.200508333,79.61666667,124.3125,0,0,226.8666667,68.3,0,0,0,105.2333333,430.7083333,198,TRUE
94.875,254.60625,0.25544375,0,0,0,90.9625,258.26875,0.2271875,0.20126875,72.1375,107.590625,0,0,173.290625,45.6625,0,0,0,78.925,333.9375,432,TRUE
104.38,270.92,0.23414,0,0,0,100.7733333,288.9666667,0.204703333,0.174626667,87.98666667,130.97,0,0,190.6933333,44.33333333,0,0,0,93.84333333,355.5566667,354,FALSE
122.5071429,304.5071429,0.252535714,0,0,0,113.7,305.7571429,0.220314286,0.1862,100.2285714,143.2321429,0,0,206.225,57.77142857,0,0,0,93.07142857,410.0857143,420,FALSE
123.2923077,317,0.223238462,0,0,0,117.0615385,326.5076923,0.194876923,0.173492308,88.94615385,128.2384615,0,0,200.9346154,60.08461538,0,0,0,93.31923077,408.2846154,412,TRUE
130.0307692,314.7076923,0.276123077,0,0,0,124.9846154,339.9615385,0.245857692,0.212538462,100.5153846,154.9461538,0,0,234.3730769,63.11538462,0,0,0,101.05,423.0961538,350,TRUE
149.8363636,379.3363636,0.240804545,0,0,0,140.8545455,384.4181818,0.210486364,0.186172727,109.5818182,152.3545455,0,0,240.3863636,64.68181818,0,0,0,112.0772727,497.4409091,410,TRUE
169.4272727,442.9,0.2565,0,0,0,155,423.5818182,0.223395455,0.194745455,103.9727273,148.6318182,0,0,291.9818182,82.78181818,0,0,0,109.0681818,539.7545455,516,TRUE
122.1714286,299.0142857,0.283482143,0,0,0,119.5571429,323.95,0.25325,0.221471429,73.52857143,113.4714286,0,0,195.7928571,54.08571429,0,0,0,96.61071429,381.8392857,374,FALSE
137.9166667,359.9333333,0.2540125,0,0,0,125.35,349.925,0.2203125,0.19485,99.13333333,142.9541667,0,0,210.4958333,68.49166667,0,0,0,107.425,449.1791667,302,TRUE
162.36,403.91,0.27015,0,0,0,153.66,418.19,0.235015,0.20304,119.51,171.77,0,0,268.53,73.56,0,0,0,130.4,540.1,238,TRUE
123.6,311.0785714,0.260971429,0,0,0,115.3,311.75,0.235475,0.216657143,94.02142857,131.0321429,0,0,190.8071429,58.98571429,0,0,0,97.175,408.4928571,452,TRUE
117.9,302.9571429,0.255235714,0,0,0,111.3285714,314.45,0.224296429,0.203085714,72.33571429,107.8321429,0,0,184.2607143,58.07142857,0,0,0,87.7,378.8214286,500,FALSE
131.1615385,301.1769231,0.298361538,0,0,0,127.4,327.2846154,0.261084615,0.2264,93.34615385,136.9153846,0,0,222.7153846,64.4,0,0,0,105.3269231,425.8192308,436,TRUE
157.3307692,359.2846154,0.338584615,0,0,0,147.7692308,385.6076923,0.307623077,0.282792308,101.5307692,141.7769231,0,0,220.9384615,65.22307692,0,0,0,107.8692308,462.0038462,496,TRUE
188.975,447.225,0.281425,0,0,0,174,452.1833333,0.244345833,0.216141667,93.2,137.6625,0,0,295.4041667,94.175,0,0,0,106.6458333,552.7041667,558,TRUE
149.3538462,355.6384615,0.295569231,0,0,0,144.1538462,370.3538462,0.263419231,0.229846154,89.46153846,137.9807692,0,0,232.0384615,76.44615385,0,0,0,115.9384615,465.2615385,354,FALSE
149.1692308,371.7538462,0.262796154,0,0,0,134.9538462,369.7615385,0.230942308,0.207561538,100.5230769,142.0769231,0,0,217.7423077,70.06923077,0,0,0,106.5653846,460.9153846,322,TRUE
102.9470588,273.0529412,0.283279412,0,0,0,100.0235294,275.9470588,0.252358824,0.219682353,67.90588235,102.1558824,0,0,170.5647059,47.41176471,0,0,0,80.90588235,342.8588235,578,TRUE
125.8625,297.75,0.271525,0,0,0,117.7125,299.46875,0.23999375,0.21165,70.4625,100.434375,0,0,188.028125,60.51875,0,0,0,83.734375,391.703125,568,FALSE
188.6181818,428.9090909,0.270413636,0,0,0,186.0909091,472.8272727,0.238304545,0.211236364,95.29090909,161.8636364,0,0,307.9227273,87.80909091,0,0,0,105.4590909,570.4409091,330,TRUE
122.4,272.1866667,0.28506,0,0,0,120.4933333,295.8,0.250613333,0.21312,83.38666667,124.69,0,0,194.23,67.65333333,0,0,0,93.28,399.9733333,504,TRUE
144.4928571,335.5857143,0.241685714,0,0,0,135.5571429,353.8285714,0.211607143,0.188228571,87.54285714,122.5678571,0,0,212.2607143,68.67142857,0,0,0,95.77142857,451.0857143,524,TRUE
201.7,521.1636364,0.2571,0,0,0,181.6,502.9818182,0.22305,0.199690909,113.0909091,167.2909091,0,0,324.9272727,103.2454545,0,0,0,124.6181818,610.9545455,608,TRUE
181.1083333,402.6166667,0.2899875,0,0,0,168.45,413.7083333,0.252425,0.21675,110.925,154.9916667,0,0,257.6583333,100.5166667,0,0,0,126.3708333,553.2875,328,FALSE
176.5666667,407.525,0.296020833,0,0,0,164.9833333,421.25,0.262241667,0.227116667,121.8166667,177.625,0,0,265.0333333,86.61666667,0,0,0,126.075,555.5291667,344,TRUE
157.9166667,406.3666667,0.255745833,0,0,0,146.7333333,392.7083333,0.224833333,0.1942,105.5833333,155.4416667,0,0,256.8208333,76.41666667,0,0,0,119.3166667,532.0916667,390,TRUE
120.49375,305.9375,0.25569375,0,0,0,110.4375,291.5,0.2219875,0.1959125,76.71875,111.821875,0,0,176.20625,62.975,0,0,0,95.121875,398.21875,534,FALSE
207.8545455,447.8818182,0.258527273,0,0,0,203.2727273,494.2545455,0.226590909,0.199445455,110.0090909,190.1409091,0,0,311.2,105.8636364,0,0,0,118.3409091,615.5681818,288,TRUE
166.8153846,376.8153846,0.283684615,0,0,0,160.7230769,409,0.252073077,0.225192308,97.05384615,145.6153846,0,0,251.7653846,89.16923077,0,0,0,113.7153846,511.5538462,402,TRUE
173.2666667,425.2916667,0.2551,0,0,0,159.5833333,420.5916667,0.222383333,0.199558333,108.0666667,154.6083333,0,0,255.6375,80.75,0,0,0,130.8833333,564.9333333,382,TRUE
194.9083333,468.7166667,0.2633375,0,0,0,175.15,452.9166667,0.227145833,0.209266667,98.96666667,147.6791667,0,0,279.0416667,106.675,0,0,0,107.1583333,575.0208333,526,TRUE
