Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
svmLinearWeights,0.733580059712721,0.733580059712721,0.733580059712721,NA,0,randomGLM,0.696633702926781,0.696633702926781,0.696633702926781,NA,0
mlpWeightDecay,0.733816559700966,0.733816559700966,0.733816559700966,NA,0,glm,0.696767777225261,0.696767777225261,0.696767777225261,NA,0
glm,0.733943743094247,0.733943743094247,0.733943743094247,NA,0,vglmAdjCat,0.696767777225261,0.696767777225261,0.696767777225261,NA,0
vglmAdjCat,0.733943743094247,0.733943743094247,0.733943743094247,NA,0,plr,0.696842525979217,0.696842525979217,0.696842525979217,NA,0
randomGLM,0.73451336483532,0.73451336483532,0.73451336483532,NA,0,mlpWeightDecay,0.697425742574257,0.697425742574257,0.697425742574257,NA,0
plr,0.734740637562593,0.734740637562593,0.734740637562593,NA,0,dwdLinear,0.69779066280116,0.69779066280116,0.69779066280116,NA,0
dwdLinear,0.735637621364929,0.735637621364929,0.735637621364929,NA,0,svmRadialWeights,0.698079231692677,0.698079231692677,0.698079231692677,NA,0
svmRadialWeights,0.735995192420716,0.735995192420716,0.735995192420716,NA,0,svmRadialSigma,0.699530984931644,0.699530984931644,0.699530984931644,NA,0
svmRadialSigma,0.736864964619037,0.736864964619037,0.736864964619037,NA,0,svmRadial,0.700258912567218,0.700258912567218,0.700258912567218,NA,0
Linda,0.736999612102405,0.736999612102405,0.736999612102405,NA,0,svmRadialCost,0.700936441522216,0.700936441522216,0.700936441522216,NA,0
svmRadial,0.737174107247808,0.737174107247808,0.737174107247808,NA,0,vglmContRatio,0.702233745512565,0.702233745512565,0.702233745512565,NA,0
svmRadialCost,0.737822601499871,0.737822601499871,0.737822601499871,NA,0,vglmCumulative,0.702233745512565,0.702233745512565,0.702233745512565,NA,0
vglmContRatio,0.739098373180995,0.739098373180995,0.739098373180995,NA,0,monmlp,0.703193612774451,0.703193612774451,0.703193612774451,NA,0
vglmCumulative,0.739098373180995,0.739098373180995,0.739098373180995,NA,0,dwdRadial,0.705753751366392,0.705753751366392,0.705753751366392,NA,0
monmlp,0.740049897736089,0.740049897736089,0.740049897736089,NA,0,gaussprLinear,0.7113566145492,0.7113566145492,0.7113566145492,NA,0
dwdRadial,0.741628817264969,0.741628817264969,0.741628817264969,NA,0,lssvmRadial,0.714775958427297,0.714775958427297,0.714775958427297,NA,0
lssvmRadial,0.747562592566472,0.747562592566472,0.747562592566472,NA,0,svmPoly,0.71533425907558,0.71533425907558,0.71533425907558,NA,0
svmPoly,0.749689681923972,0.749689681923972,0.749689681923972,NA,0,gamLoess,0.717337307501242,0.717337307501242,0.717337307501242,NA,0
gamLoess,0.751668488609916,0.751668488609916,0.751668488609916,NA,0,gamSpline,0.722310756972112,0.722310756972112,0.722310756972112,NA,0
gamSpline,0.756326139596116,0.756326139596116,0.756326139596116,NA,0,dwdPoly,0.728909108891307,0.728909108891307,0.728909108891307,NA,0
dwdPoly,0.76113853821379,0.76113853821379,0.76113853821379,NA,0,sdwd,NA,NA,NA,NA,NA
